problem_id,answer
2374,1.6
4723,24.0
7135,32.0
5814,256.0
9237,53.0
10703,4.0
9621,1256.0
4318,2.0
7549,0.1
4405,1.2
13660,30.0
5206,18.0
5878,343.0
12275,245.0
5766,0.4
3205,10.0
8081,1.0
2415,4.0
4965,2.0
7643,3.0
10661,152.0
2851,7930.0
11878,340.0
3509,135.0
9665,2.0
7505,10.0
5843,81.0
4028,24.0
9604,3700.0
4764,23.0
12195,2280.0
7034,1700.0
10711,30.0
2407,2.5
7118,52.0
8549,25.0
8417,31.0
9603,8285.0
4438,12.0
3659,25.0
8322,130.0
7903,0.9
4785,13.0
2377,2.6
4187,500.0
9526,2.0
4975,2.0
2565,2.18
135,4.0
6885,100.0
12130,19.0
8502,505.0
8719,0.01
4801,23.0
10491,4.0
6089,366.0
8269,1995.0
5186,10.0
12101,16.0
10974,19.899
8407,85.0
7030,2000.0
10090,21.0
4167,174.0
12340,3.0
156,3.0
4257,84.0
13578,1.0
3423,738.0
8570,5.0
8173,3.0
6406,1.0
2548,0.84
8714,0.125
7113,476.0
177,10800.0
10076,14.0
1001,1.0
4442,21.0
11973,8.0
2475,2.1
4255,72.0
2299,2.44
9294,126.0
8159,7.0
1054,2.0
11900,45.0
3111,44.0
9241,43.0
82,3.0
11935,28.0
90,24.0
7063,9000.0
4393,4.0
13550,300.0
7064,385.0
7097,25.0
5448,0.79
2293,8.5
5261,5.0
